species,life_stage,spring_trawl,fall_trawl,seamap_bll,nmfs_bll,camera_reef,sum_plank_bongo,sum_plan_neuston,fall_plank_bongo,fall_plank_neust,nmfs_small_pelagics,Group
Almaco jack,Adult,0.137955887,0.19,0.544981004,0.082297437,0.542227992,0,0,0,0,0.085472796,Amberjacks
Banded rudderfish,Adult,0.351615599,0,0.091050956,0,0.120264274,0,0,0,0,0.095776751,Amberjacks
Greater Amberjack,Adult,0.337678327,0.38,0.545096359,0.1,0.544514574,0,0,0,0,0.202949654,Amberjacks
Lesser Amberjack,Adult,0.093339544,0.01,0.273525122,0.078065635,0.185906008,0,0,0,0,0.090526272,Amberjacks
Cobia,Adult,0.126357869,0.47,0.080511705,0.15,0.088891967,0.103354461,0.115213649,0.100564961,0.247905857,0.098490547,CoastalPelagic
Florida pompano ,Adult,0.096047819,0.123268485,0.077618239,0,0.077274177,0,0,0,0,0.093122137,CoastalPelagic
King mackerel,Adult,0.403558554,0.43,0,0.07,0.08091647,0.122186757,0.13382358,0.544992779,0.543025813,0.380893018,CoastalPelagic
Mullet,Adult,0.058525311,0.022661692,0,0,0,0,0,0,0,0,CoastalPelagic
Spanish mackerel,Adult,0.299208351,0.34,0.077618239,0.01,0.07847289,0.097606741,0.123746469,0.543073424,0.52418158,0.157812663,CoastalPelagic
Wahoo,Adult,0,0,0,0.03,0,0,0,0,0,0,CoastalPelagic
Cubera snapper,Adult,0,0,0,0,0,0,0,0,0,0,Deepwater snapper
Queen snapper,Adult,0.058525311,0,0.081115232,0.05,0.08141266,0,0,0,0,0,Deepwater snapper
silk snapper,Adult,0.06950489,0.042064885,0.086565718,0,0.085991844,0,0,0,0,0,Deepwater snapper
Wenchmen,Adult,0,0,0,0,0,0,0,0,0,0,Deepwater snapper
Atlantic croaker,Adult,0.373209711,0.382035429,0,0.04,0,0,0,0,0,0.543496159,Groundfish
Black drum,Adult,0,0,0,0,0,0,0,0,0,0,Groundfish
Gafftopsail catfish,Adult,0.363145359,0.382035205,0,0.41,0,0,0,0,0,0,Groundfish
Gulf butterfish,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.544999986,Groundfish
Gulf flounder,Adult,0,0,0,0,0,0,0,0,0,0,Groundfish
Red Drum,Adult,0.075461014,0.056167689,0,0.23,0,0,0.081479442,0.544152336,0.532280073,0,Groundfish
Sand sea trout,Adult,0.373209711,0.382035429,0,0.05,0,0,0,0,0,0.544958009,Groundfish
Sheepshead,Adult,0.119710988,0.216084179,0.077618239,0,0.170406513,0,0,0,0,0,Groundfish
Southern flounder,Adult,0.373208266,0.382035429,0,0,0,0,0,0,0,0.384765988,Groundfish
Spotted croaker,Adult,0.373209711,0.382035429,0,0,0.081164252,0,0,0,0,0.519761513,Groundfish
Spotted sea trout,Adult,0.075461014,0,0,0,0,0,0,0,0,0,Groundfish
Black grouper,Adult,0,0,0.105531781,0.079106285,0.095775362,0,0,0,0,0,Grouper_ShallowReef_Fish
Black sea bass ,Adult,0.367721686,0.382035399,0,0.03,0.336739517,0,0,0,0,0,Grouper_ShallowReef_Fish
Gag grouper,Adult,0.272775164,0.37,0.411366118,0.28,0.479724571,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
Goliath grouper,Adult,0.084844422,0.16,0.077618239,0.079106285,0.089965911,0,0,0,0,0,Grouper_ShallowReef_Fish
Grey Snapper,Adult,0.4482211,0.39,0.514598603,0.09,0.54479635,0,0,0.276655303,0.150898616,0.142958599,Grouper_ShallowReef_Fish
Grey Triggerfish,Adult,0.405488602,0.37,0.543667132,0,0.545093792,0.086115977,0.141749137,0.237139257,0.540068242,0.312604746,Grouper_ShallowReef_Fish
Hogfish,Adult,0,0,0,0,0,0,0,0,0,0,Grouper_ShallowReef_Fish
Lane snapper,Adult,0.48724852,0.46,0.221484473,0.02,0.542558764,0,0,0,0,0.433112179,Grouper_ShallowReef_Fish
Mutton snapper,Adult,0.08200749,0.074631235,0.292190402,0.02,0.223000055,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
Nassau grouper,Adult,0,0,0.078169184,0,0.077751886,0,0,0,0,0,Grouper_ShallowReef_Fish
Red grouper,Adult,0.471375455,0.5,0.544885111,0.6,0.545163977,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
Red Hind,Adult,0.058525311,0.07,0.101211722,0,0.087037433,0,0,0,0,0,Grouper_ShallowReef_Fish
Red porgy ,Adult,0.373209711,0.382035429,0.545201604,0.02,0.545200065,0,0,0,0,0.441951467,Grouper_ShallowReef_Fish
Red Snapper,Adult,0.478707687,0.5,0.545191281,0.52,0.545201928,0,0,0.537965723,0.50677225,0.544439678,Grouper_ShallowReef_Fish
Rock hind,Adult,0.030740625,0,0.151546547,0,0.11463916,0,0,0,0,0,Grouper_ShallowReef_Fish
Scamp Grouper,Adult,0.503373826,0.44,0.545192744,0.1,0.545145937,0,0,0,0,0.085472796,Grouper_ShallowReef_Fish
Speckled hind ,Adult,0.058525311,0,0.104090864,0.15,0.092696291,0,0,0,0,0.083050973,Grouper_ShallowReef_Fish
Vermilion snapper ,Adult,0.30786274,0.28,0.545025231,0.06,0.545191934,0,0,0.544995534,0.542946571,0.544212318,Grouper_ShallowReef_Fish
White grunt,Adult,0.373209711,0.382035429,0,0.01,0.353114201,0,0,0,0,0.083050973,Grouper_ShallowReef_Fish
Yellowmouth grouper,Adult,0,0.04,0.306113329,0.078065635,0.174641638,0,0,0,0,0,Grouper_ShallowReef_Fish
Yellowedge grouper,Adult,0,0.04,0.306113329,0.078065635,0,0,0,0,0,0,Grouper_ShallowReef_Fish
Yellowfin Grouper,Adult,0.058525311,0,0.099145272,0,0.08625228,0,0,0,0,0,Grouper_ShallowReef_Fish
Yellowtail snapper ,Adult,0.360901659,0.38203499,0.419023775,0,0.345906194,0,0,0,0,0.090526272,Grouper_ShallowReef_Fish
Blacktip,Adult,0.060201854,0.03,0,0.51,0.07847289,0,0,0,0,0,LarageCoastalSharks
Bull,Adult,0,0,0,0,0,0,0,0,0,0,LarageCoastalSharks
Lemon,Adult,0,0,0,0.18,0.078231939,0,0,0,0,0,LarageCoastalSharks
Nurse,Adult,0.297989393,0.07,0,0.56,0.096628956,0,0,0,0,0.087988679,LarageCoastalSharks
Sandbar,Adult,0.01857189,0,0,0.55,0.087828366,0,0,0,0,0.087988679,LarageCoastalSharks
Spinner,Adult,0.063917962,0.03,0,0.39,0.077991605,0,0,0,0,0,LarageCoastalSharks
Tiger,Adult,0,0,0,0.58,0.079442872,0,0,0,0,0,LarageCoastalSharks
Pinfish,Adult,0.373209711,0.382035429,0,0.08,0.175922979,0,0,0,0,0.54499311,Menhaden_baitfish  
Anchovy,Adult,0.276460474,0.27,0,0,0,0,0,0,0,0.085472796,Menhaden_baitfish  
Atlantic thread herring,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.15402817,Menhaden_baitfish  
Flyingfish,Adult,0.058525311,0,0,0,0,0,0,0,0,0.083050973,Menhaden_baitfish  
Halfbeak,Adult,0,0,0,0,0,0,0,0,0,0,Menhaden_baitfish  
killifish,Adult,0,0,0,0,0,0,0,0,0,0,Menhaden_baitfish  
Menhaden,Adult,0.183902673,0.31,0,0,0,0,0,0,0,0.101305134,Menhaden_baitfish  
Round herring,Adult,0.37293059,0.382035429,0,0,0.077274177,0,0,0,0,0.543854111,Menhaden_baitfish  
scad,Adult,0.109661821,0.35,0,0,0.089159481,0,0,0,0,0.492586221,Menhaden_baitfish  
Scaled Sardine,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.135904112,Menhaden_baitfish  
silverside,Adult,0,0,0,0,0,0,0,0,0,0,Menhaden_baitfish  
Spanish sardine,Adult,0.331052553,0.3,0,0,0.07847289,0,0,0,0,0.247905857,Menhaden_baitfish  
Blue crab,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.093122137,Shrimp_Crabs
Brown shrimp,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.544851695,Shrimp_Crabs
Pink shrimp,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.116124845,Shrimp_Crabs
White shrimp,Adult,0.373209711,0.382035429,0,0,0,0,0,0,0,0.090526272,Shrimp_Crabs
Blue runner,Adult,0.405520584,0.37,0.352964034,0,0.531254436,0,0,0,0,0.266437875,Small Pelagics
Bluefish,Adult,0.207919635,0.33,0,0.02,7.73E-02,0,0,0,0,0.275701728,Small Pelagics
Bonito,Adult,0,0,0,0.01,0,0,0.082279585,0.082840008,0,0,Small Pelagics
Crevalle jack,Adult,0.12323817,0.27,0.084704317,0.02,0.08469924,0,0,0,0,0.101305134,Small Pelagics
Dolphinfish,Adult,0.032365952,0,0,0.07,0.077751886,0.359080197,0.544996082,0.136312578,0.530707833,0.087988679,Small Pelagics
Little tunny,Adult,0,0.03,0.200420058,0.02,0.121277223,0.463095117,0.341922956,0.54499924,0.544325277,0,Small Pelagics
Pompan Dolphinfish,Adult,0,0,0,0,0,0.092072553,0.525510607,0.08393474,0.173248339,0.083050973,Small Pelagics
Rainbow runner,Adult,0,0,0,0,0.078956644,0,0,0,0,0.085472796,Small Pelagics
Blacknose,Adult,0.472491911,0.42,0,0.55,0.079442872,0,0,0,0,0.125718234,SmallcoastalSharks
Bonnethead,Adult,0.357347301,0.46,0,0.25,0.077512781,0,0,0,0,0.113048176,SmallcoastalSharks
Finetooth,Adult,0,0,0,0.09,0,0,0,0,0,0,SmallcoastalSharks
Sharpnose,Adult,0.424354827,0.37,0,0.56,0,0,0,0,0,0.536824264,SmallcoastalSharks
blueline tilefish,Adult,0.014774772,0,0.080511705,0.3,0.09132295,0,0,0,0,0.083050973,Tilefish_Deepwater_Grouper
Calico grouper,Adult,0.058525311,0,0.104090864,0.098186682,0,0,0,0,0,0.083050973,Tilefish_Deepwater_Grouper
Golden Tilefish,Adult,0,0.06,0,0.12,0,0,0,0,0,0.113048176,Tilefish_Deepwater_Grouper
goldface tilefish,Adult,0.033931985,0.08,0.224883784,0,0.14393954,0,0,0,0,0.116124845,Tilefish_Deepwater_Grouper
Misty Grouper,Adult,0,0,0.077618239,0,0,0,0,0,0,0,Tilefish_Deepwater_Grouper
Snowy,Adult,0.1668241,0.19,0.093023652,0.15,0.079442872,0,0,0,0,0.090526272,Tilefish_Deepwater_Grouper
Warsaw ,Adult,0.012900278,0.05,0.097070627,0.14,0.077991605,0,0,0,0,0.087988679,Tilefish_Deepwater_Grouper
Bigeye Tuna,Adult,0,0,0,0,0,0,0,0,0,0,Tuna
Blackfin Tuna,Adult,0,0,0,0.03,0,0,0,0,0,0,Tuna
Bluefin Tuna,Adult,0,0,0,0.078065635,0,0.542086908,0.536641078,0,0,0,Tuna
Skipjack Tuna,Adult,0,0,0,0,0,0.545199611,0.538174384,0.494036513,0.264123265,0,Tuna
Yellowfin Tuna,Adult,0,0,0,0.078065635,0,0,0,0,0,0,Tuna
Almaco jack,Juvenille,0.137955887,0.193570927,0.544981004,1.11568E-16,0.542227992,0,0,0,0,0.085472796,Amberjacks
Banded rudderfish,Juvenille,0.351615599,0,0.091050956,0,0.120264274,0,0,0,0,0.095776751,Amberjacks
Greater Amberjack,Juvenille,0.337678327,0.383411389,0.545096359,0.097195762,0.544514574,0,0,0,0,0.202949654,Amberjacks
Lesser Amberjack,Juvenille,0.093339544,0.010891685,0.273525122,0.004417379,0.185906008,0,0,0,0,0.090526272,Amberjacks
Cobia,Juvenille,0.126357869,0.466999603,0.080511705,0.15256517,0.088891967,0.103354461,0.115213649,0.100564961,0.247905857,0.098490547,CoastalPelagic
Florida pompano ,Juvenille,0.096047819,0,0.077618239,0,0.077274177,0,0,0,0,0.093122137,CoastalPelagic
King mackerel,Juvenille,0.403558554,0.428260552,0,0.068053268,0.08091647,0.122186757,0.13382358,0.544992779,0.543025813,0.380893018,CoastalPelagic
Mullet,Juvenille,0.058525311,0,0,0,0,0,0,0,0,0,CoastalPelagic
Spanish mackerel,Juvenille,0.299208351,0.338452256,0.077618239,0.007919461,0.07847289,0.097606741,0.123746469,0.543073424,0.52418158,0.157812663,CoastalPelagic
Wahoo,Juvenille,0,0,0,0.03383813,0,0,0,0,0,0,CoastalPelagic
Cubera snapper,Juvenille,0,0,0,0,0,0,0,0,0,0,Deepwater snapper
Queen snapper,Juvenille,0.058525311,0,0.081115232,0.050762393,0.08141266,0,0,0,0,0,Deepwater snapper
silk snapper,Juvenille,0.06950489,0,0.086565718,0,0.085991844,0,0,0,0,0,Deepwater snapper
Wenchmen,Juvenille,0,0,0,0,0,0,0,0,0,0,Deepwater snapper
Atlantic croaker,Juvenille,0.373209711,0,0,0.041097142,0,0,0,0,0,0.543496159,Groundfish
Black drum,Juvenille,0,0,0,0,0,0,0,0,0,0,Groundfish
Gafftopsail catfish,Juvenille,0.363145359,0,0,0.410582879,0,0,0,0,0,0,Groundfish
Gulf butterfish,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.544999986,Groundfish
Gulf flounder,Juvenille,0,0,0,0,0,0,0,0,0,0,Groundfish
Red Drum,Juvenille,0.075461014,0,0,0.229996764,0,0,0.081479442,0.544152336,0.532280073,0,Groundfish
Sand sea trout,Juvenille,0.373209711,0,0,0.048537765,0,0,0,0,0,0.544958009,Groundfish
Sheepshead,Juvenille,0.119710988,0,0.077618239,0,0.170406513,0,0,0,0,0,Groundfish
Southern flounder,Juvenille,0.373208266,0,0,0,0,0,0,0,0,0.384765988,Groundfish
Spotted croaker,Juvenille,0.373209711,0,0,0,0.081164252,0,0,0,0,0.519761513,Groundfish
Spotted sea trout,Juvenille,0.075461014,0,0,0,0,0,0,0,0,0,Groundfish
Black grouper,Juvenille,0,0,0.105531781,0.004189324,0.095775362,0,0,0,0,0,Grouper_ShallowReef_Fish
Black sea bass ,Juvenille,0.367721686,0,0,0.025020043,0.336739517,0,0,0,0,0,Grouper_ShallowReef_Fish
Gag grouper,Juvenille,0.272775164,0.371127916,0.411366118,0.281599707,0.479724571,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
Goliath grouper,Juvenille,0.084844422,0.155012606,0.077618239,0.002560865,0.089965911,0,0,0,0,0,Grouper_ShallowReef_Fish
Grey Snapper,Juvenille,0.4482211,0.393935905,0.514598603,0.088760165,0.54479635,0,0,0.276655303,0.150898616,0.142958599,Grouper_ShallowReef_Fish
Grey Triggerfish,Juvenille,0.405488602,0.369732086,0.543667132,0,0.545093792,0.086115977,0.141749137,0.237139257,0.540068242,0.312604746,Grouper_ShallowReef_Fish
Hogfish,Juvenille,0,0,0,0,0,0,0,0,0,0,Grouper_ShallowReef_Fish
Lane snapper,Juvenille,0.48724852,0.458888567,0.221484473,0.018641451,0.542558764,0,0,0,0,0.433112179,Grouper_ShallowReef_Fish
Mutton snapper,Juvenille,0.08200749,0,0.292190402,0.024266308,0.223000055,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
Nassau grouper,Juvenille,0,0,0.078169184,0,0.077751886,0,0,0,0,0,Grouper_ShallowReef_Fish
Red grouper,Juvenille,0.471375455,0.496876459,0.544885111,0.603335422,0.545163977,0,0,0,0,0.087988679,Grouper_ShallowReef_Fish
Red Hind,Juvenille,0.058525311,0.069361453,0.101211722,0,0.087037433,0,0,0,0,0,Grouper_ShallowReef_Fish
Red porgy ,Juvenille,0.373209711,0,0.545201604,0.015581571,0.545200065,0,0,0,0,0.441951467,Grouper_ShallowReef_Fish
Red Snapper,Juvenille,0.478707687,0.497937606,0.545191281,0.516123512,0.545201928,0,0,0.537965723,0.50677225,0.544439678,Grouper_ShallowReef_Fish
Rock hind,Juvenille,0.030740625,0,0.151546547,0,0.11463916,0,0,0,0,0,Grouper_ShallowReef_Fish
Scamp Grouper,Juvenille,0.503373826,0.436652462,0.545192744,0.103798429,0.545145937,0,0,0,0,0.085472796,Grouper_ShallowReef_Fish
Speckled hind ,Juvenille,0.058525311,0,0.104090864,0.147444458,0.092696291,0,0,0,0,0.083050973,Grouper_ShallowReef_Fish
Vermilion snapper ,Juvenille,0.30786274,0.280892199,0.545025231,0.057559539,0.545191934,0,0,0.544995534,0.542946571,0.544212318,Grouper_ShallowReef_Fish
White grunt,Juvenille,0.373209711,0,0,0.008256516,0.353114201,0,0,0,0,0.083050973,Grouper_ShallowReef_Fish
Yellowmouth grouper,Juvenille,0,0.041349733,0.306113329,0.004063846,0.174641638,0,0,0,0,0,Grouper_ShallowReef_Fish
Yellowedge grouper,Juvenille,0,0.041349733,0.306113329,0,0,0,0,0,0,0,Grouper_ShallowReef_Fish
Yellowfin Grouper,Juvenille,0.058525311,0,0.099145272,0,0.08625228,0,0,0,0,0,Grouper_ShallowReef_Fish
Yellowtail snapper ,Juvenille,0.360901659,0,0.419023775,0,0.345906194,0,0,0,0,0.090526272,Grouper_ShallowReef_Fish
Blacktip,Juvenille,0.060201854,0.029323437,0,0.512998674,0.07847289,0,0,0,0,0,LarageCoastalSharks
Bull,Juvenille,0,0,0,0,0,0,0,0,0,0,LarageCoastalSharks
Lemon,Juvenille,0,0,0,0.178654077,0.078231939,0,0,0,0,0,LarageCoastalSharks
Nurse,Juvenille,0.297989393,0.072358874,0,0.564849499,0.096628956,0,0,0,0,0.087988679,LarageCoastalSharks
Sandbar,Juvenille,0.01857189,0,0,0.545018825,0.087828366,0,0,0,0,0.087988679,LarageCoastalSharks
Spinner,Juvenille,0.063917962,0.025638798,0,0.392540059,0.077991605,0,0,0,0,0,LarageCoastalSharks
Tiger,Juvenille,0,0,0,0.579009747,0.079442872,0,0,0,0,0,LarageCoastalSharks
Pinfish,Juvenille,0.373209711,0,0,0.076374736,0.175922979,0,0,0,0,0.54499311,Menhaden_baitfish  
Anchovy,Juvenille,0.276460474,0.267995281,0,0,0,0,0,0,0,0.085472796,Menhaden_baitfish  
Atlantic thread herring,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.15402817,Menhaden_baitfish  
Flyingfish,Juvenille,0.058525311,0,0,0,0,0,0,0,0,0.083050973,Menhaden_baitfish  
Halfbeak,Juvenille,0,0,0,0,0,0,0,0,0,0,Menhaden_baitfish  
killifish,Juvenille,0,0,0,0,0,0,0,0,0,0,Menhaden_baitfish  
Menhaden,Juvenille,0.183902673,0.305369847,0,0,0,0,0,0,0,0.101305134,Menhaden_baitfish  
Round herring,Juvenille,0.37293059,0,0,0,7.73E-02,0,0,0,0,0.543854111,Menhaden_baitfish  
scad,Juvenille,0.109661821,0.354193034,0,0,0.089159481,0,0,0,0,0.492586221,Menhaden_baitfish  
Scaled Sardine,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.135904112,Menhaden_baitfish  
silverside,Juvenille,0,0,0,0,0,0,0,0,0,0,Menhaden_baitfish  
Spanish sardine,Juvenille,0.331052553,0.296147077,0,0,0.07847289,0,0,0,0,0.247905857,Menhaden_baitfish  
Blue crab,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.093122137,Shrimp_Crabs
Brown shrimp,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.544851695,Shrimp_Crabs
Pink shrimp,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.116124845,Shrimp_Crabs
White shrimp,Juvenille,0.373209711,0,0,0,0,0,0,0,0,0.090526272,Shrimp_Crabs
Blue runner,Juvenille,0.405520584,0.370124265,0.352964034,0,0.531254436,0,0,0,0,0.266437875,Small Pelagics
Bluefish,Juvenille,0.207919635,0.334328893,0,0.024718686,0.077274177,0,0,0,0,0.275701728,Small Pelagics
Bonito,Juvenille,0,0,0,0.012723613,0,0,0.082279585,0.082840008,0,0,Small Pelagics
Crevalle jack,Juvenille,0.12323817,0.270889362,0.084704317,0.018928037,0.08469924,0,0,0,0,0.101305134,Small Pelagics
Dolphinfish,Juvenille,0.032365952,0,0,0.071522439,0.077751886,0.359080197,0.544996082,0.136312578,0.530707833,0.087988679,Small Pelagics
Little tunny,Juvenille,0,0.030727423,0.200420058,0.02346853,0.121277223,0.463095117,0.341922956,0.54499924,0.544325277,0,Small Pelagics
Pompan Dolphinfish,Juvenille,0,0,0,0,0,0.092072553,0.525510607,0.08393474,0.173248339,0.083050973,Small Pelagics
Rainbow runner,Juvenille,0,0,0,0,0.078956644,0,0,0,0,0.085472796,Small Pelagics
Blacknose,Juvenille,0.472491911,0.415370355,0,0.546107265,0.079442872,0,0,0,0,0.125718234,SmallcoastalSharks
Bonnethead,Juvenille,0.357347301,0.458706614,0,0.249203401,0.077512781,0,0,0,0,0.113048176,SmallcoastalSharks
Finetooth,Juvenille,0,0,0,0.089523847,0,0,0,0,0,0,SmallcoastalSharks
Sharpnose,Juvenille,0.424354827,0.367672714,0,0.5612888,0,0,0,0,0,0.536824264,SmallcoastalSharks
blueline tilefish,Juvenille,0.014774772,0,0.080511705,0.303454091,0.09132295,0,0,0,0,0.083050973,Tilefish_Deepwater_Grouper
Calico grouper,Juvenille,0.058525311,0,0.104090864,0,0,0,0,0,0,0.083050973,Tilefish_Deepwater_Grouper
Golden Tilefish,Juvenille,0,0.063189114,0,0.12134986,0,0,0,0,0,0.113048176,Tilefish_Deepwater_Grouper
goldface tilefish,Juvenille,0.033931985,0.078839371,0.224883784,0,0.14393954,0,0,0,0,0.116124845,Tilefish_Deepwater_Grouper
Misty Grouper,Juvenille,0,0,0.077618239,0,0,0,0,0,0,0,Tilefish_Deepwater_Grouper
Snowy,Juvenille,0.1668241,0.187254835,0.093023652,0.150505289,0.079442872,0,0,0,0,0.090526272,Tilefish_Deepwater_Grouper
Warsaw ,Juvenille,0.012900278,0.045160634,0.097070627,0.141081052,0.077991605,0,0,0,0,0.087988679,Tilefish_Deepwater_Grouper
Bigeye Tuna,Juvenille,0,0,0,0,0,0,0,0,0,0,Tuna
Blackfin Tuna,Juvenille,0,0,0,0.02543393,0,0,0,0,0,0,Tuna
Bluefin Tuna,Juvenille,0,0,0,1.50922E-16,0,0.542086908,0.536641078,0,0,0,Tuna
Skipjack Tuna,Juvenille,0,0,0,0,0,0.545199611,0.538174384,0.494036513,0.264123265,0,Tuna
Yellowfin Tuna,Juvenille,0,0,0,8.4442E-17,0,0,0,0,0,0,Tuna