Group,species,life_stage,commercial_value,recreational_value,ecosystem_value,management_importantce,uniqueness,include
Amberjack,Almaco jack,Adult,0.000363882,0.013104189,0.000521009,0.142857143,0.2,1
Amberjack,Banded rudderfish,Adult,6.15E-05,0.004296455,0.000521009,0.142857143,0.333333333,1
Amberjacks,Greater Amberjack,Adult,0.004731409,0.141568206,0.000521009,0.166666667,0.166666667,1
Amberjacks,Lesser Amberjack,Adult,1.37E-05,0.000429646,0.000521009,0.125,0.2,1
CoastalPelagic,Cobia,Adult,0.000764487,0.083566058,0.000209787,0.166666667,0.1,1
CoastalPelagic,Florida pompano ,Adult,0.002638717,0.066595059,0.001793561,0,0.25,1
CoastalPelagic,King mackerel,Adult,0.026418174,0.327604726,0.0022994,0.125,0.1,1
CoastalPelagic,Mullet,Adult,0.021672137,0.430934479,0.010586158,0,0.5,1
CoastalPelagic,Spanish mackerel,Adult,0.003201241,0.586680988,0.001604983,0.2,0.1,1
CoastalPelagic,Wahoo,Adult,0.000317355,0.039312567,0.001793561,0,1,1
Deepwater snapper,Cubera snapper,Adult,6.97E-05,0.000644468,0.000376233,0.1,0,1
Deepwater snapper,Queen snapper,Adult,0.000495132,0,0.000376233,0,0.333333333,1
Deepwater snapper,silk snapper,Adult,0.000725387,0.000859291,0.000376233,0.1,0.333333333,1
Deepwater snapper,Wenchmen,Adult,0.008180166,0.09301826,0.000376233,0.142857143,0,1
Groundfish,Atlantic croaker,Adult,0.008180166,0.09301826,0.006939097,0,0.2,1
Groundfish,Black drum,Adult,0.017619784,0.133834586,0.006939097,0,0,1
Groundfish,Gafftopsail catfish,Adult,6.48E-06,0.083351235,0.006939097,0,0.25,1
Groundfish,Gulf butterfish,Adult,1.91E-06,0,0.006939097,0,0.333333333,1
Groundfish,Gulf flounder,Adult,0.000567277,0.042105263,0.004546146,0,0,1
Groundfish,Red Drum,Adult,0.000782923,0.50461869,0.002637318,0.125,0.142857143,1
Groundfish,Sand sea trout,Adult,0.000185298,0.1783029,0.003471854,0,0.2,1
Groundfish,Sheepshead,Adult,0.002079871,0.479269603,0.004546146,0,0.333333333,1
Groundfish,Southern flounder,Adult,0.000311462,0.041031149,0.004546146,0,0.333333333,1
Groundfish,Spotted croaker,Adult,2.77E-05,0.001503759,0.004546146,0,0.25,1
Groundfish,Spotted sea trout,Adult,0.00040824,0.507626208,0.003471854,0,1,1
Grouper_ShallowReef_Fish,Black grouper,Adult,0.002848862,0.031149302,0.000360095,0.111111111,0.5,1
Grouper_ShallowReef_Fish,Black sea bass ,Adult,0.00069959,0.021482277,0.000360095,0,0.25,1
Grouper_ShallowReef_Fish,Gag grouper,Adult,0.016804469,0.293662728,0.000415885,0.1,0.2,1
Grouper_ShallowReef_Fish,Goliath grouper,Adult,0,0,2.13E-05,0.1,0.25,1
Grouper_ShallowReef_Fish,Grey Snapper,Adult,0.002631481,0.440601504,0.000360095,0.111111111,0.142857143,1
Grouper_ShallowReef_Fish,Grey Triggerfish,Adult,0.000691189,0.090870032,0.001489255,0.142857143,0.125,1
Grouper_ShallowReef_Fish,Hogfish,Adult,0.000307273,0.013533835,0.000360095,0.142857143,0,1
Grouper_ShallowReef_Fish,Lane snapper,Adult,0.000404806,0.083136412,0.000376233,0.142857143,0.166666667,1
Grouper_ShallowReef_Fish,Mutton snapper,Adult,0.001976474,0.142212675,0.000411735,0.125,0.2,1
Grouper_ShallowReef_Fish,Nassau grouper,Adult,0,0,0.000360095,0.1,1,1
Grouper_ShallowReef_Fish,Red grouper,Adult,0.071812231,0.280558539,0.000583253,0.125,0.2,1
Grouper_ShallowReef_Fish,Red Hind,Adult,9.91E-06,0.000644468,0.000360095,0,0.333333333,1
Grouper_ShallowReef_Fish,Red porgy ,Adult,0.001114847,0.039312567,0.000360095,0,0.2,1
Grouper_ShallowReef_Fish,Red Snapper,Adult,0.183212224,1,0.001641869,0.1,0.125,1
Grouper_ShallowReef_Fish,Rock hind,Adult,1.10E-05,0.000214823,0.000360095,0,1,1
Grouper_ShallowReef_Fish,Scamp Grouper,Adult,0.003928749,0.032438238,0.000360095,0.111111111,0.166666667,1
Grouper_ShallowReef_Fish,Speckled hind ,Adult,0.001092852,0,0.000360095,0.1,0.25,1
Grouper_ShallowReef_Fish,Vermilion snapper ,Adult,0.015181681,0.110204082,0.001493865,0.111111111,0.142857143,1
Grouper_ShallowReef_Fish,White grunt,Adult,1.52E-05,0.264446831,0.000360095,0,0.2,1
Grouper_ShallowReef_Fish,Yellowmouth grouper,Adult,0,0,0.000360095,0,0.333333333,1
Grouper_ShallowReef_Fish,Yellowedge grouper,Adult,0.020835391,0.003222342,0.000840392,0.1,0.5,1
Grouper_ShallowReef_Fish,Yellowfin Grouper,Adult,0,0,0.000360095,0.1,0.5,1
Grouper_ShallowReef_Fish,Yellowtail snapper ,Adult,0.025714353,0.082062299,0.000376233,0.111111111,0.25,1
LarageCoastalSharks,Blacktip,Adult,0.00196682,0.009237379,0.001397041,0.2,0.2,1
LarageCoastalSharks,Bull,Adult,0.000915587,0.001503759,0.000525619,0.333333333,0,1
LarageCoastalSharks,Lemon,Adult,0.000189576,0,0.000525619,0.5,0.333333333,1
LarageCoastalSharks,Nurse,Adult,0,0,0.000525619,0.333333333,0.166666667,1
LarageCoastalSharks,Sandbar,Adult,0,0,2.21E-05,0.2,0.2,1
LarageCoastalSharks,Spinner,Adult,0,0.007089151,0.000525619,0.5,0.2,1
LarageCoastalSharks,Tiger,Adult,0,0,0.000525619,0.333333333,0.333333333,1
menhaden_baitfish,Pinfish,Adult,0.002262935,0.216756176,0.001802782,0,0.2,1
Menhaden_baitfish  ,Anchovy,Adult,0,0,0.01550577,0,0.333333333,1
Menhaden_baitfish  ,Atlantic thread herring,Adult,0.00267168,0.116863588,0.01550577,0,0.25,1
Menhaden_baitfish  ,Flyingfish,Adult,0,0,0.001802782,0,0.5,1
Menhaden_baitfish  ,Halfbeak,Adult,0,0,0.001802782,0,0,1
Menhaden_baitfish  ,killifish,Adult,0,0,0.01550577,0,0,1
Menhaden_baitfish  ,Menhaden,Adult,0.624232487,0,1,0,0.333333333,1
Menhaden_baitfish  ,Round herring,Adult,0,0,0.01550577,0,0.25,1
Menhaden_baitfish  ,scad,Adult,0.001102584,0.065306122,0.01550577,0,0.25,1
Menhaden_baitfish  ,Scaled Sardine,Adult,0.00050459,0.026638024,0.01550577,0,0.333333333,1
Menhaden_baitfish  ,silverside,Adult,0,0,0.01550577,0,0,1
Menhaden_baitfish  ,Spanish sardine,Adult,0.00100252,0.002577873,0.01550577,0,0.25,1
Shrimp_Crabs,Blue crab,Adult,0,0,0.012103077,0,0.25,1
Shrimp_Crabs,Brown shrimp,Adult,0.761185443,0,0.044262681,0.333333333,0.333333333,1
Shrimp_Crabs,Pink shrimp,Adult,0.157774516,0,0.007082029,0.25,0.333333333,1
Shrimp_Crabs,White shrimp,Adult,1,0,2.13E-05,0.25,0.333333333,1
Small Pelagics,Blue runner,Adult,0.000373299,0.167561762,0.006740837,0,0.25,1
Small Pelagics,Bluefish,Adult,0.000263967,0.107411386,0.006740837,0,0.166666667,1
Small Pelagics,Bonito,Adult,0,0,0.006740837,0,0.25,1
Small Pelagics,Crevalle jack,Adult,0.001567688,0.153598281,0.006740837,0,0.166666667,1
Small Pelagics,Dolphinfish,Adult,0.000401591,0.190332975,0.006740837,0,0.111111111,1
Small Pelagics,Little tunny,Adult,0.000549394,0.218045113,0.006740837,0,0.142857143,1
Small Pelagics,Pompan Dolphinfish,Adult,0.000401591,0.190332975,0.006740837,0,0.2,1
Small Pelagics,Rainbow runner,Adult,1.73E-06,0.004511278,0.006740837,0,0.5,1
SmallcoastalSharks,Blacknose,Adult,0,0,4.15E-05,0.25,0.166666667,1
SmallcoastalSharks,Bonnethead,Adult,0,0.007303974,4.15E-05,0.2,0.166666667,1
SmallcoastalSharks,Finetooth,Adult,0,0,4.15E-05,0.166666667,0.5,1
SmallcoastalSharks,Sharpnose,Adult,0,0,0.000521009,0.25,0.2,1
Tilefish_Deepwater_Grouper,blueline tilefish,Adult,0.001299099,0.004296455,0.000112962,0.1,0.25,1
Tilefish_Deepwater_Grouper,Calico grouper,Adult,0.001092852,0,0.000123567,0.1,0.333333333,1
Tilefish_Deepwater_Grouper,Golden Tilefish,Adult,0.00415711,0.016541353,0.000112962,0.1,0.25,1
Tilefish_Deepwater_Grouper,goldface tilefish,Adult,0,0,0.000123567,0,0.25,1
Tilefish_Deepwater_Grouper,Misty Grouper,Adult,0,0,0.000123567,0,0,1
Tilefish_Deepwater_Grouper,Snowy,Adult,0.004375893,0.001933405,0.000123567,0.111111111,0.2,1
Tilefish_Deepwater_Grouper,Warsaw ,Adult,0.000548306,0.001933405,0.000123567,0.1,0.2,1
Tuna,Bigeye Tuna,Adult,0,0.001288937,0.000246211,0,0,1
Tuna,Blackfin Tuna,Adult,0.000124156,0.168850698,0.000246211,0,0.5,1
Tuna,Bluefin Tuna,Adult,3.23E-06,0,9.91E-06,1,1,1
Tuna,Skipjack Tuna,Adult,0,0.000644468,0.000246211,0,0.25,1
Tuna,Yellowfin Tuna,Adult,0.009778119,0.023200859,0.000108351,0.5,1,1
Amberjack,Almaco jack,Juvenille,0.000363882,0.013104189,0.000521009,0.142857143,0.2,1
Amberjack,Banded rudderfish,Juvenille,6.15E-05,0.004296455,0.000521009,0.142857143,0.333333333,1
Amberjacks,Greater Amberjack,Juvenille,0.004731409,0.141568206,0.000521009,0.166666667,0.166666667,1
Amberjacks,Lesser Amberjack,Juvenille,1.37E-05,0.000429646,0.000521009,0.125,0.2,1
CoastalPelagic,Cobia,Juvenille,0.000764487,0.083566058,0.000209787,0.166666667,0.1,1
CoastalPelagic,Florida pompano ,Juvenille,0.002638717,0.066595059,0.001793561,0,0.25,1
CoastalPelagic,King mackerel,Juvenille,0.026418174,0.327604726,0.0022994,0.125,0.1,1
CoastalPelagic,Mullet,Juvenille,0.021672137,0.430934479,0.010586158,0,0.5,1
CoastalPelagic,Spanish mackerel,Juvenille,0.003201241,0.586680988,0.001604983,0.2,0.1,1
CoastalPelagic,Wahoo,Juvenille,0.000317355,0.039312567,0.001793561,0,1,1
Deepwater snapper,Cubera snapper,Juvenille,6.97E-05,0.000644468,0.000376233,0.1,0,1
Deepwater snapper,Queen snapper,Juvenille,0.000495132,0,0.000376233,0,0.333333333,1
Deepwater snapper,silk snapper,Juvenille,0.000725387,0.000859291,0.000376233,0.1,0.333333333,1
Deepwater snapper,Wenchmen,Juvenille,0.008180166,0.09301826,0.000376233,0.142857143,0,1
Groundfish,Atlantic croaker,Juvenille,0.008180166,0.09301826,0.006939097,0,0.2,1
Groundfish,Black drum,Juvenille,0.017619784,0.133834586,0.006939097,0,0,1
Groundfish,Gafftopsail catfish,Juvenille,6.48E-06,0.083351235,0.006939097,0,0.25,1
Groundfish,Gulf butterfish,Juvenille,1.91E-06,0,0.006939097,0,0.333333333,1
Groundfish,Gulf flounder,Juvenille,0.000567277,0.042105263,0.004546146,0,0,1
Groundfish,Red Drum,Juvenille,0.000782923,0.50461869,0.002637318,0.125,0.142857143,1
Groundfish,Sand sea trout,Juvenille,0.000185298,0.1783029,0.003471854,0,0.2,1
Groundfish,Sheepshead,Juvenille,0.002079871,0.479269603,0.004546146,0,0.333333333,1
Groundfish,Southern flounder,Juvenille,0.000311462,0.041031149,0.004546146,0,0.333333333,1
Groundfish,Spotted croaker,Juvenille,2.77E-05,0.001503759,0.004546146,0,0.25,1
Groundfish,Spotted sea trout,Juvenille,0.00040824,0.507626208,0.003471854,0,1,1
Grouper_ShallowReef_Fish,Black grouper,Juvenille,0.002848862,0.031149302,0.000360095,0.111111111,0.5,1
Grouper_ShallowReef_Fish,Black sea bass ,Juvenille,0.00069959,0.021482277,0.000360095,0,0.25,1
Grouper_ShallowReef_Fish,Gag grouper,Juvenille,0.016804469,0.293662728,0.000415885,0.1,0.2,1
Grouper_ShallowReef_Fish,Goliath grouper,Juvenille,0,0,2.13E-05,0.1,0.25,1
Grouper_ShallowReef_Fish,Grey Snapper,Juvenille,0.002631481,0.440601504,0.000360095,0.111111111,0.142857143,1
Grouper_ShallowReef_Fish,Grey Triggerfish,Juvenille,0.000691189,0.090870032,0.001489255,0.142857143,0.125,1
Grouper_ShallowReef_Fish,Hogfish,Juvenille,0.000307273,0.013533835,0.000360095,0.142857143,0,1
Grouper_ShallowReef_Fish,Lane snapper,Juvenille,0.000404806,0.083136412,0.000376233,0.142857143,0.166666667,1
Grouper_ShallowReef_Fish,Mutton snapper,Juvenille,0.001976474,0.142212675,0.000411735,0.125,0.2,1
Grouper_ShallowReef_Fish,Nassau grouper,Juvenille,0,0,0.000360095,0.1,1,1
Grouper_ShallowReef_Fish,Red grouper,Juvenille,0.071812231,0.280558539,0.000583253,0.125,0.2,1
Grouper_ShallowReef_Fish,Red Hind,Juvenille,9.91E-06,0.000644468,0.000360095,0,0.333333333,1
Grouper_ShallowReef_Fish,Red porgy ,Juvenille,0.001114847,0.039312567,0.000360095,0,0.2,1
Grouper_ShallowReef_Fish,Red Snapper,Juvenille,0.183212224,1,0.001641869,0.1,0.125,1
Grouper_ShallowReef_Fish,Rock hind,Juvenille,1.10E-05,0.000214823,0.000360095,0,1,1
Grouper_ShallowReef_Fish,Scamp Grouper,Juvenille,0.003928749,0.032438238,0.000360095,0.111111111,0.166666667,1
Grouper_ShallowReef_Fish,Speckled hind ,Juvenille,0.001092852,0,0.000360095,0.1,0.25,1
Grouper_ShallowReef_Fish,Vermilion snapper ,Juvenille,0.015181681,0.110204082,0.001493865,0.111111111,0.142857143,1
Grouper_ShallowReef_Fish,White grunt,Juvenille,1.52E-05,0.264446831,0.000360095,0,0.2,1
Grouper_ShallowReef_Fish,Yellowmouth grouper,Juvenille,0,0,0.000360095,0,0.333333333,1
Grouper_ShallowReef_Fish,Yellowedge grouper,Juvenille,0.020835391,0.003222342,0.000840392,0.1,0.5,1
Grouper_ShallowReef_Fish,Yellowfin Grouper,Juvenille,0,0,0.000360095,0.1,0.5,1
Grouper_ShallowReef_Fish,Yellowtail snapper ,Juvenille,0.025714353,0.082062299,0.000376233,0.111111111,0.25,1
LarageCoastalSharks,Blacktip,Juvenille,0.00196682,0.009237379,0.001397041,0.2,0.2,1
LarageCoastalSharks,Bull,Juvenille,0.000915587,0.001503759,0.000525619,0.333333333,0,1
LarageCoastalSharks,Lemon,Juvenille,0.000189576,0,0.000525619,0.5,0.333333333,1
LarageCoastalSharks,Nurse,Juvenille,0,0,0.000525619,0.333333333,0.166666667,1
LarageCoastalSharks,Sandbar,Juvenille,0,0,2.21E-05,0.2,0.2,1
LarageCoastalSharks,Spinner,Juvenille,0,0.007089151,0.000525619,0.5,0.2,1
LarageCoastalSharks,Tiger,Juvenille,0,0,0.000525619,0.333333333,0.333333333,1
menhaden_baitfish,Pinfish,Juvenille,0.002262935,0.216756176,0.001802782,0,0.2,1
Menhaden_baitfish  ,Anchovy,Juvenille,0,0,0.01550577,0,0.333333333,1
Menhaden_baitfish  ,Atlantic thread herring,Juvenille,0.00267168,0.116863588,0.01550577,0,0.25,1
Menhaden_baitfish  ,Flyingfish,Juvenille,0,0,0.001802782,0,0.5,1
Menhaden_baitfish  ,Halfbeak,Juvenille,0,0,0.001802782,0,0,1
Menhaden_baitfish  ,killifish,Juvenille,0,0,0.01550577,0,0,1
Menhaden_baitfish  ,Menhaden,Juvenille,0.624232487,0,1,0,0.333333333,1
Menhaden_baitfish  ,Round herring,Juvenille,0,0,0.01550577,0,0.25,1
Menhaden_baitfish  ,scad,Juvenille,0.001102584,0.065306122,0.01550577,0,0.25,1
Menhaden_baitfish  ,Scaled Sardine,Juvenille,0.00050459,0.026638024,0.01550577,0,0.333333333,1
Menhaden_baitfish  ,silverside,Juvenille,0,0,0.01550577,0,0,1
Menhaden_baitfish  ,Spanish sardine,Juvenille,0.00100252,0.002577873,0.01550577,0,0.25,1
Shrimp_Crabs,Blue crab,Juvenille,0,0,0.012103077,0,0.25,1
Shrimp_Crabs,Brown shrimp,Juvenille,0.761185443,0,0.044262681,0.333333333,0.333333333,1
Shrimp_Crabs,Pink shrimp,Juvenille,0.157774516,0,0.007082029,0.25,0.333333333,1
Shrimp_Crabs,White shrimp,Juvenille,1,0,2.13E-05,0.25,0.333333333,1
Small Pelagics,Blue runner,Juvenille,0.000373299,0.167561762,0.006740837,0,0.25,1
Small Pelagics,Bluefish,Juvenille,0.000263967,0.107411386,0.006740837,0,0.166666667,1
Small Pelagics,Bonito,Juvenille,0,0,0.006740837,0,0.25,1
Small Pelagics,Crevalle jack,Juvenille,0.001567688,0.153598281,0.006740837,0,0.166666667,1
Small Pelagics,Dolphinfish,Juvenille,0.000401591,0.190332975,0.006740837,0,0.111111111,1
Small Pelagics,Little tunny,Juvenille,0.000549394,0.218045113,0.006740837,0,0.142857143,1
Small Pelagics,Pompan Dolphinfish,Juvenille,0.000401591,0.190332975,0.006740837,0,0.2,1
Small Pelagics,Rainbow runner,Juvenille,1.73E-06,0.004511278,0.006740837,0,0.5,1
SmallcoastalSharks,Blacknose,Juvenille,0,0,4.15E-05,0.25,0.166666667,1
SmallcoastalSharks,Bonnethead,Juvenille,0,0.007303974,4.15E-05,0.2,0.166666667,1
SmallcoastalSharks,Finetooth,Juvenille,0,0,4.15E-05,0.166666667,0.5,1
SmallcoastalSharks,Sharpnose,Juvenille,0,0,0.000521009,0.25,0.2,1
Tilefish_Deepwater_Grouper,blueline tilefish,Juvenille,0.001299099,0.004296455,0.000112962,0.1,0.25,1
Tilefish_Deepwater_Grouper,Calico grouper,Juvenille,0.001092852,0,0.000123567,0.1,0.333333333,1
Tilefish_Deepwater_Grouper,Golden Tilefish,Juvenille,0.00415711,0.016541353,0.000112962,0.1,0.25,1
Tilefish_Deepwater_Grouper,goldface tilefish,Juvenille,0,0,0.000123567,0,0.25,1
Tilefish_Deepwater_Grouper,Misty Grouper,Juvenille,0,0,0.000123567,0,0,1
Tilefish_Deepwater_Grouper,Snowy,Juvenille,0.004375893,0.001933405,0.000123567,0.111111111,0.2,1
Tilefish_Deepwater_Grouper,Warsaw ,Juvenille,0.000548306,0.001933405,0.000123567,0.1,0.2,1
Tuna,Bigeye Tuna,Juvenille,0,0.001288937,0.000246211,0,0,1
Tuna,Blackfin Tuna,Juvenille,0.000124156,0.168850698,0.000246211,0,0.5,1
Tuna,Bluefin Tuna,Juvenille,3.23E-06,0,9.91E-06,1,0.333333333,1
Tuna,Skipjack Tuna,Juvenille,0,0.000644468,0.000246211,0,0.25,1
Tuna,Yellowfin Tuna,Juvenille,0.009778119,0.023200859,0.000108351,0.5,1,1